"","Glycerol7a","Glycerol7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_gly7_vs_pyr5"
"MT0199",132.25567765467,111.96146028998,82.7988632765908,97.1971701586233,-0.427366762317691,6.98429194021094,0.349269521706609,1
"MT0200",88.1704517697802,37.3204867633266,72.4490053670169,86.3974845854429,0.378406453967996,6.50507772920331,0.705543912014996,1
"MT0201",88.1704517697802,121.291581980811,113.848437005312,140.395912451345,0.255369189975956,7.09566487855691,0.55852180627291,1
"MT0202",110.213064712225,186.602433816633,72.4490053670169,140.395912451345,-0.507450238651768,7.21964661473888,0.36801175374044,1
"MT0203",11.0213064712225,0,10.3498579095738,43.1987422927215,2.12648912007166,5.18042226387019,0.231315998647174,0.937144677480333
"MT0204",11.0213064712225,18.6602433816633,20.6997158191477,10.7996855731804,0.0598585204036456,5.17519113902835,1,1
"MT0207",33.0639194136676,18.6602433816633,10.3498579095738,32.3990567195411,-0.243472722525625,5.4586492698173,1,1
"MT0208",242.468742366895,242.583163961623,175.947584462755,183.594654744066,-0.429929730102834,7.85855762076916,0.249319118723443,0.937144677480333
"MT0209",0,9.33012169083165,20.6997158191477,32.3990567195411,2.1272282490477,5.17718317930779,0.218803965596538,0.937144677480333
"MT0210",66.1278388273351,37.3204867633266,10.3498579095738,21.5993711463607,-1.59558108278188,5.76270015456827,0.0923655471272272,0.749206690997414
"MT0211",77.1491452985576,83.9710952174849,41.3994316382954,64.7981134390822,-0.601253135781948,6.45470185209121,0.327182477313514,1
"MT0212",253.490048838118,195.932555507465,186.297442372329,205.194025890427,-0.185835708069278,7.84807392517809,0.677221594830915,1
"MT0213",55.1065323561126,65.3108518358216,82.7988632765908,43.1987422927215,0.0635180828274998,6.36712847659234,1,1
"MT0214",77.1491452985576,65.3108518358216,93.1487211861646,43.1987422927215,-0.0417883853413456,6.49819350769557,1,1
"MT0215",33.0639194136676,46.6506084541583,31.0495737287215,10.7996855731804,-0.894972731427012,5.68743407626144,0.387806597326044,1
"MT0216",617.193162388461,559.807301449899,424.344174292528,637.181448817641,-0.149014720107696,9.17944363534037,0.572337058568944,1
"MT0217",110.213064712225,158.612068744138,134.54815282446,161.995283597705,0.118461956869905,7.34343438246486,0.797711856687928,1
"MT0218",88.1704517697802,55.9807301449899,93.1487211861646,53.9984278659018,0.0632765671123966,6.54150703957957,1,1
"MT0219",33.0639194136676,9.33012169083165,31.0495737287215,10.7996855731804,0.0604552273826453,5.37148218429757,1,1
"MT0220",22.042612942445,18.6602433816633,51.7492895478692,21.5993711463607,0.832325428230206,5.61771044283906,0.548914678204442,1
"MT0221",187.362210010783,261.243407343286,745.189769489317,745.178304549445,1.70893117332738,8.97814475597402,1.98378131635095e-11,5.56374359955044e-09
"MT0222",22.042612942445,18.6602433816633,31.0495737287215,32.3990567195411,0.618028643997628,5.54025872842831,0.753953460838807,1
"MT0223",55.1065323561126,0,51.7492895478692,75.5977990122626,1.27309728694423,6.02237571201679,0.180252294438174,0.912895588801772
"MT0224",22.042612942445,37.3204867633266,0,32.3990567195411,-0.878606049484284,5.45454502749091,0.521795568591172,1
"MT0225",11.0213064712225,0,20.6997158191477,10.7996855731804,1.43437611441731,4.95597958059385,0.625028781099251,1
"MT0226",0,18.6602433816633,31.0495737287215,32.3990567195411,1.53389474552173,5.36835531466852,0.289138047486544,0.974304363341905
"MT0227",11.0213064712225,0,41.3994316382954,0,1.79732765511073,5.07086749479861,0.445186072043701,1
"MT0228",22.042612942445,27.990365072495,0,32.3990567195411,-0.629096300468122,5.36859182171161,0.733265710621937,1
"MT0229",0,0,10.3498579095738,10.7996855731804,3.19910355402765,4.69183263353601,0.500019188504197,1
"MT0230",253.490048838118,307.894015797445,206.997158191477,172.794969170886,-0.56793340015571,8.0053578147399,0.116668678933181,0.781200222979494
"MT0231",66.1278388273351,65.3108518358216,41.3994316382954,43.1987422927215,-0.620280017108667,6.22568501958796,0.38350387667693,1
"MT0232",44.0852258848901,37.3204867633266,31.0495737287215,32.3990567195411,-0.337982125303432,5.8287222826837,0.790583596858394,1
"MT0233",44.0852258848901,27.990365072495,10.3498579095738,21.5993711463607,-1.0963255209654,5.5398774934306,0.343844428923149,1
"MT0234",11.0213064712225,0,10.3498579095738,0,0.0518624105514534,4.69214498444223,1,1
"MT0235",77.1491452985576,65.3108518358216,93.1487211861646,75.5977990122626,0.253236585650182,6.61855711739101,0.855618646644512,1
"MT0236",88.1704517697802,93.3012169083165,41.3994316382954,75.5977990122626,-0.63428296896447,6.57689760899642,0.265197874440545,0.958889642495401
"MT0237",242.468742366895,242.583163961623,196.647300281903,183.594654744066,-0.348190056595755,7.89035687310233,0.352554066196176,1
"MT0238",33.0639194136676,37.3204867633266,0,32.3990567195411,-1.09630241745669,5.53801180835105,0.343844428923149,1
"MT0239",44.0852258848901,27.990365072495,51.7492895478692,43.1987422927215,0.414302985658104,5.95645046474841,0.803679652485403,1
"MT0240",77.1491452985576,27.990365072495,51.7492895478692,43.1987422927215,-0.0878703777715328,6.12900648406115,0.999999999999999,1
"MT0241",99.1917582410027,158.612068744138,134.54815282446,118.796541304984,-0.0483383311307848,7.22138465153946,1,1
"MT0242",66.1278388273351,65.3108518358216,31.0495737287215,43.1987422927215,-0.806826421625657,6.1749803103935,0.263360327172049,0.958889642495401
"MT0244",132.25567765467,93.3012169083165,20.6997158191477,21.5993711463607,-2.32573701197483,6.45515343123069,0.000536725257999171,0.026092003875533
